cn_name,alias,rating,comment_number,director,year,area,types
新龙门客栈,新龍門客棧,8.5,190623,导演: 李惠民 Raymond Lee   ,1992, 香港 中国大陆 , 剧情 动作 武侠 古装
黑客帝国3：矩阵革命,The Matrix Revolutions,8.5,161612,导演: Andy Wachowski / Larry Wachowski   ,2003, 美国 澳大利亚 , 动作 科幻
这个男人来自地球,The Man from Earth,8.5,188245,导演: 理查德·沙因克曼 Richard Schenkman   ,2007, 美国 , 剧情 科幻
卡萨布兰卡,Casablanca,8.6,128582,导演: Michael Curtiz   ,1942, 美国 , 剧情 爱情 战争
一个叫欧维的男人决定去死,En man som heter Ove,8.7,123888,导演: 汉内斯·赫尔姆 Hannes Holm   ,2015, 瑞典 , 剧情
城市之光,City Lights,9.2,45948,导演: Charles Chaplin   ,1931, 美国 , 喜剧 剧情 爱情
变脸,Face/Off,8.4,220588,导演: 吴宇森 John Woo   ,1997, 美国 , 动作 科幻 犯罪 惊悚
荒野生存,Into the Wild,8.6,131394,导演: 西恩·潘 Sean Penn   ,2007, 美国 , 冒险 传记 剧情
迁徙的鸟,Le peuple migrateur,9.1,52870,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   ,2001, 法国 德国 意大利 西班牙 瑞士 , 纪录片
你的名字。,君の名は。,8.4,488404,导演: 新海诚 Makoto Shinkai   ,2016, 日本 , 剧情 爱情 动画
E.T. 外星人,E.T.: The Extra-Terrestrial,8.5,158163,导演: Steven Spielberg   ,1982, 美国 , 剧情 科幻
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,8.3,476751,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克,2010, 泰国 , 剧情 喜剧 爱情
无耻混蛋,Inglourious Basterds,8.4,230086,导演: Quentin Tarantino   ,2009, 美国 德国 , 剧情 犯罪
发条橙,A Clockwork Orange,8.4,191160,导演: Stanley Kubrick   ,1971, 英国 美国 , 犯罪 剧情 科幻
美国丽人,American Beauty,8.4,190935,导演: 萨姆·门德斯 Sam Mendes   ,1999, 美国 , 剧情 爱情 家庭
黄金三镖客,"Il buono, il brutto, il cattivo.",9.1,52992,导演: Sergio Leone   ,1966, 意大利 西班牙 西德 , 冒险 西部
英国病人,The English Patient,8.4,177843,导演: 安东尼·明格拉 Anthony Minghella   ,1996, 美国 英国 , 爱情 剧情 战争
小萝莉的猴神大叔,Bajrangi Bhaijaan,8.6,135607,导演: 卡比尔·汗 Kabir Khan   ,2015, 印度 , 剧情 喜剧 动作
爱在午夜降临前,Before Midnight,8.8,120464,导演: 理查德·林克莱特 Richard Linklater   ,2013, 美国 , 剧情 爱情
燕尾蝶,スワロウテイル,8.6,109883,导演: 岩井俊二 Shunji Iwai   ,1996, 日本 , 犯罪 剧情
无人知晓,誰も知らない,9.0,58751,导演: 是枝裕和 Hirokazu Koreeda   ,2004, 日本 , 剧情
非常嫌疑犯,The Usual Suspects,8.6,119800,导演: 布莱恩·辛格 Bryan Singer   ,1995, 德国 美国 , 剧情 犯罪 悬疑 惊悚
叫我第一名,Front of the Class,8.6,111647,导演: 彼得·维纳 Peter Werner   ,2008, 美国 , 剧情 传记
穆赫兰道,Mulholland Dr.,8.3,241503,导演: 大卫·林奇 David Lynch   ,2001, 法国 美国 , 剧情 悬疑 惊悚
疯狂的石头,Crazy Stone,8.3,325493,导演: 宁浩 Hao Ning   ,2006, 中国大陆 香港 , 喜剧 犯罪
勇士,Warrior,8.9,89731,导演: 加文·欧康诺 Gavin O'Connor   ,2011, 美国 , 剧情 运动 家庭
无敌破坏王,Wreck-It Ralph,8.6,189599,导演: 瑞奇·莫尔 Rich Moore   ,2012, 美国 , 喜剧 动画 奇幻 冒险
国王的演讲,The King's Speech,8.3,350027,导演: 汤姆·霍珀 Tom Hooper   ,2010, 英国 澳大利亚 美国 , 剧情 传记 历史
步履不停,歩いても 歩いても,8.8,75986,导演: 是枝裕和 Hirokazu Koreeda   ,2008, 日本 , 剧情 家庭
血钻,Blood Diamond,8.5,136631,导演: 爱德华·兹威克 Edward Zwick   ,2006, 美国 德国 , 剧情 惊悚 冒险
上帝也疯狂,The Gods Must Be Crazy,8.6,98600,导演: Jamie Uys   ,1980, 博茨瓦纳 南非 , 喜剧
彗星来的那一夜,Coherence,8.4,184625,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   ,2013, 美国 英国 , 科幻 悬疑 惊悚
枪火,鎗火,8.6,102552,导演: 杜琪峰 Johnnie To   ,1999, 香港 , 剧情 动作 犯罪
蓝色大门,藍色大門,8.3,277614,导演: 易智言 Chih-yen Yee   ,2002, 台湾 法国 , 剧情 爱情 同性
大卫·戈尔的一生,The Life of David Gale,8.6,96136,导演: Alan Parker   ,2003, 美国 德国 英国 , 剧情 犯罪 悬疑
遗愿清单,The Bucket List,8.5,132823,导演: 罗伯·莱纳 Rob Reiner   ,2007, 美国 , 冒险 喜剧 剧情
我爱你,그대를 사랑합니다,9.0,59289,导演: 秋昌民 Chang-min Choo   ,2011, 韩国 , 剧情 爱情
千钧一发,Gattaca,8.7,88629,导演: 安德鲁·尼科尔 Andrew Niccol   ,1997, 美国 , 剧情 科幻
荒岛余生,Cast Away,8.5,138207,导演: 罗伯特·泽米吉斯 Robert Zemeckis   ,2000, 美国 , 冒险 剧情
爱·回家,집으로...,9.0,48503,导演: 李廷香 Jeong-hyang Lee   ,2002, 韩国 , 剧情 家庭
黑鹰坠落,Black Hawk Down,8.5,118145,导演: 雷德利·斯科特 Ridley Scott   ,2001, 美国 , 动作 历史 战争
麦兜故事,麥兜故事,8.5,130927,导演: 袁建滔 Toe Yuen   ,2001, 香港 , 剧情 喜剧 动画
暖暖内含光,Eternal Sunshine of the Spotless Mind,8.4,147903,导演: 米歇尔·冈瑞 Michel Gondry   ,2004, 美国 , 剧情 爱情 奇幻
聚焦,Spotlight,8.8,129697,导演: 托马斯·麦卡锡 Thomas McCarthy   ,2015, 美国 加拿大 , 剧情 传记
