cn_name,alias,rating,comment_number,director,year,area,types
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,8.9,160326,导演: 马克·赫门 Mark Herman   ,2008, 英国 美国 , 剧情 战争
阿凡达,Avatar,8.6,561604,导演: 詹姆斯·卡梅隆 James Cameron   ,2009, 美国 英国 , 动作 战争 科幻 冒险
爱在黎明破晓前,Before Sunrise,8.7,236033,导演: 理查德·林克莱特 Richard Linklater   ,1995, 美国 奥地利 瑞士 , 剧情 爱情
消失的爱人,Gone Girl,8.7,382092,导演: 大卫·芬奇 David Fincher   ,2014, 美国 , 剧情 犯罪 悬疑 惊悚
风之谷,風の谷のナウシカ,8.8,187440,导演: 宫崎骏 Hayao Miyazaki   ,1984, 日本 , 科幻 动画 奇幻 冒险
爱在日落黄昏时,Before Sunset,8.7,211012,导演: 理查德·林克莱特 Richard Linklater   ,2004, 美国 , 剧情 爱情
侧耳倾听,耳をすませば,8.8,180461,导演: 近藤喜文 Yoshifumi Kondo   ,1995, 日本 , 剧情 爱情 动画 音乐
倩女幽魂,倩女幽魂(87版)  /  A Chinese Ghost Story,8.6,272570,导演: 程小东 Siu-Tung Ching   ,1987, 香港 , 剧情 爱情 武侠 古装
红辣椒,パプリカ,8.9,144941,导演: 今敏 Satoshi Kon   ,2006, 日本 , 动画 悬疑 科幻 惊悚
超脱,Detachment,8.8,184138,导演: 托尼·凯耶 Tony Kaye   ,2011, 美国 , 剧情
恐怖直播,더 테러 라이브,8.7,239304,导演: 金秉祐 Byeong-woo Kim   ,2013, 韩国 , 剧情 犯罪 悬疑
萤火虫之墓,火垂るの墓,8.7,215565,导演: 高畑勋 Isao Takahata   ,1988, 日本 , 动画 剧情 战争
驯龙高手,How to Train Your Dragon,8.7,302837,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   ,2010, 美国 , 喜剧 动画 奇幻 冒险 家庭
幸福终点站,The Terminal,8.6,237556,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   ,2004, 美国 , 喜剧 剧情 爱情
菊次郎的夏天,菊次郎の夏,8.7,193913,导演: 北野武 Takeshi Kitano   ,1999, 日本 , 剧情 喜剧
小森林 夏秋篇,リトル・フォレスト 夏・秋,8.9,141915,导演: 森淳一 Junichi Mori   ,2014, 日本 , 剧情
喜剧之王,喜劇之王,8.5,338072,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   ,1999, 香港 , 喜剧 剧情 爱情
岁月神偷,歲月神偷,8.6,321682,导演: 罗启锐 Alex Law   ,2010, 香港 中国大陆 , 剧情 家庭
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,8.7,230358,导演: 米林宏昌 Hiromasa Yonebayashi   ,2010, 日本 , 动画 奇幻 冒险
神偷奶爸,Despicable Me,8.5,402249,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   ,2010, 美国 法国 , 喜剧 动画 冒险
七武士,七人の侍,9.2,81586,导演: 黑泽明 Akira Kurosawa   ,1954, 日本 , 动作 冒险 剧情
杀人回忆,살인의 추억,8.7,221036,导演: 奉俊昊 Joon-ho Bong   ,2003, 韩国 , 犯罪 剧情 悬疑 惊悚
海洋,Océans,9.0,102290,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   ,2009, 法国 瑞士 西班牙 美国 阿联酋 , 纪录片
真爱至上,Love Actually,8.5,330561,导演: 理查德·柯蒂斯 Richard Curtis   ,2003, 英国 美国 法国 , 喜剧 剧情 爱情
电锯惊魂,Saw,8.7,209382,导演: 詹姆斯·温 James Wan   ,2004, 美国 , 悬疑 惊悚 恐怖
贫民窟的百万富翁,Slumdog Millionaire,8.5,413204,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   ,2008, 英国 美国 , 剧情 爱情
谍影重重3,The Bourne Ultimatum,8.7,190109,导演: 保罗·格林格拉斯 Paul Greengrass   ,2007, 美国 德国 , 动作 悬疑 惊悚
喜宴,囍宴,8.8,148369,导演: 李安 Ang Lee   ,1993, 台湾 美国 , 剧情 喜剧 爱情 同性 家庭
东邪西毒,東邪西毒,8.6,264791,导演: 王家卫 Kar Wai Wong   ,1994, 香港 台湾 , 剧情 动作 爱情 武侠 古装
记忆碎片,Memento,8.5,293847,导演: 克里斯托弗·诺兰 Christopher Nolan   ,2000, 美国 , 犯罪 剧情 悬疑 惊悚
雨人,Rain Man,8.6,219354,导演: 巴瑞·莱文森 Barry Levinson   ,1988, 美国 , 剧情
怪兽电力公司,"Monsters, Inc.",8.6,255794,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   ,2001, 美国 , 喜剧 动画 儿童 奇幻
疯狂原始人,The Croods,8.7,388971,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   ,2013, 美国 , 喜剧 动画 冒险
黑天鹅,Black Swan,8.5,437731,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   ,2010, 美国 , 剧情 惊悚
英雄本色,A Better Tomorrow  /  Gangland Boss,8.7,177797,导演: 吴宇森 John Woo   ,1986, 香港 , 动作 犯罪
燃情岁月,Legends of the Fall,8.7,153979,导演: 爱德华·兹威克 Edward Zwick   ,1994, 美国 , 剧情 爱情 西部 家庭
卢旺达饭店,Hotel Rwanda,8.8,126270,导演: 特瑞·乔治 Terry George   ,2004, 英国 南非 意大利 美国 , 剧情 历史 战争
虎口脱险,La grande vadrouille,8.9,111791,导演: 杰拉尔·乌里 Gérard Oury   ,1966, 法国 英国 , 喜剧 战争
恋恋笔记本,The Notebook,8.5,298354,导演: 尼克·卡索维茨 Nick Cassavetes   ,2004, 美国 , 剧情 爱情
海边的曼彻斯特,Manchester by the Sea,8.6,205656,导演: 肯尼斯·罗纳根 Kenneth Lonergan   ,2016, 美国 , 剧情 家庭
傲慢与偏见,Pride & Prejudice,8.4,318798,导演: 乔·怀特 Joe Wright   ,2005, 法国 英国 美国 , 剧情 爱情
7号房的礼物,7번방의 선물,8.7,187277,导演: 李焕庆 Hwan-kyeong Lee   ,2013, 韩国 , 剧情 喜剧 家庭
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,8.7,288078,导演: 大卫·叶茨 David Yates   ,2011, 美国 英国 , 剧情 悬疑 奇幻 冒险
小森林 冬春篇,リトル・フォレスト 冬・春,8.9,123691,导演: 森淳一 Junichi Mori   ,2015, 日本 , 剧情
萤火之森,蛍火の杜へ,8.7,167551,导演: 大森贵弘 Takahiro Omori   ,2011, 日本 , 剧情 爱情 动画 奇幻
完美的世界,A Perfect World,9.0,85470,导演: 克林特·伊斯特伍德 Clint Eastwood   ,1993, 美国 , 剧情 犯罪
教父3,The Godfather: Part III,8.8,137721,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   ,1990, 美国 , 剧情 犯罪
纵横四海,緃横四海,8.7,155071,导演: 吴宇森 John Woo   ,1991, 香港 , 剧情 喜剧 动作 犯罪
二十二,Twenty Two  /  22,8.8,103717,导演: 郭柯 Ke Guo   ,2015, 中国大陆 , 纪录片
魂断蓝桥,Waterloo Bridge,8.8,134833,导演: Mervyn LeRoy   ,1940, 美国 , 剧情 战争 爱情
猜火车,Trainspotting,8.5,258102,导演: 丹尼·博伊尔 Danny Boyle   ,1996, 英国 , 犯罪 剧情
荒蛮故事,Relatos salvajes,8.8,149880,导演: 达米安·斯兹弗隆 Damián Szifron   ,2014, 阿根廷 西班牙 , 剧情 喜剧 犯罪
穿越时空的少女,時をかける少女,8.6,193578,导演: 细田守 Mamoru Hosoda   ,2006, 日本 , 剧情 爱情 科幻 动画
玩具总动员3,Toy Story 3,8.8,200532,导演: 李·昂克里奇 Lee Unkrich   ,2010, 美国 , 喜剧 动画 奇幻 冒险
花样年华,花樣年華,8.5,259157,导演: 王家卫 Kar Wai Wong   ,2000, 香港 法国 , 剧情 爱情
雨中曲,Singin' in the Rain,9.0,96900,导演: Stanley Donen / Gene Kelly   ,1952, 美国 , 喜剧 歌舞 爱情
唐伯虎点秋香,唐伯虎點秋香,8.4,348355,导演: 李力持 Lik-Chi Lee   ,1993, 香港 , 喜剧 爱情 古装
超能陆战队,Big Hero 6,8.6,389812,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   ,2014, 美国 , 喜剧 动作 科幻 动画 冒险
时空恋旅人,About Time,8.6,212607,导演: 理查德·柯蒂斯 Richard Curtis   ,2013, 英国 , 剧情 爱情 奇幻
我是山姆,I Am Sam,8.8,109461,导演: 杰茜·尼尔森 Jessie Nelson   ,2001, 美国 , 剧情 家庭
